counterfactual_variant,macro_step_id,date,code_id,source_prob,source_trigger,alpha,action_l1_shift,market_gate,daily_steps,portfolio_value
learned_context_adapter_hidden_direction,8,2022-02-23,5,0.07618879777524974,False,0.017698897048830986,0.0002041347324848175,0.6557881454783884,5,994051.7219517536
learned_context_adapter_hidden_direction,9,2022-03-02,3,0.03677155894544063,False,0.0044858925975859165,5.5652111768722534e-05,0.566238905740174,5,995663.4773184042
learned_context_adapter_hidden_direction,10,2022-03-09,3,0.04600243514299776,False,0.03378140553832054,0.0003649108111858368,0.5778266958694677,5,993540.5612448978
learned_context_adapter_hidden_direction,11,2022-03-16,3,0.048815421834685395,False,0.031031103804707527,0.00036823563277721405,0.6300838803620626,5,999385.0183475236
learned_context_adapter_hidden_direction,12,2022-03-23,7,0.07720130495417575,False,0.06920818239450455,0.0006500706076622009,0.5735707055721607,5,1000782.9939545158
learned_context_adapter_hidden_direction,13,2022-03-29,6,0.09156802632428757,False,0.03844716399908066,0.0004130769520998001,0.6815666536910316,4,1005193.3447830632
learned_context_adapter_hidden_direction,14,2022-04-05,4,0.2889066809133018,True,0.8604851365089417,0.008136730641126633,0.6849928412154244,5,999165.5233931098
learned_context_adapter_hidden_direction,15,2022-04-12,5,0.09154066696403286,False,0.013857651501893997,0.00015260465443134308,0.6784305245863159,5,999005.393358079
learned_context_adapter_hidden_direction,16,2022-04-20,6,0.0931104774415486,False,0.05863313376903534,0.0006486121565103531,0.6906520656426884,5,999956.3096848881
learned_context_adapter_hidden_direction,17,2022-04-26,5,0.09737956956999091,False,0.046390924602746964,0.0004930626600980759,0.5736185273717811,4,982915.6481070116
learned_context_adapter_hidden_direction,18,2022-04-27,3,0.052911915047214354,False,0.010522764176130295,0.00012302584946155548,0.5247623801859277,1,989983.876012212
learned_context_adapter_hidden_direction,19,2022-05-04,3,0.04555584459609478,False,0.011585971340537071,0.00013131648302078247,0.5459913703490565,5,979561.7154882409
learned_context_adapter_hidden_direction,20,2022-05-11,3,0.08989358911055183,False,0.0582205206155777,0.0006255768239498138,0.5686011366382784,5,965694.9984814823
learned_context_adapter_hidden_direction,21,2022-05-17,3,0.02240026275270051,False,0.0052519263699650764,6.304681301116943e-05,0.5947753683734573,4,962782.5562549212
learned_context_adapter_hidden_direction,22,2022-05-24,3,0.07075848849502911,False,0.052562691271305084,0.0005737841129302979,0.5305217147328004,5,968212.1581737107
learned_context_adapter_hidden_direction,23,2022-05-26,3,0.04586993378719379,False,0.01713653840124607,0.00018236227333545685,0.6230672436332807,2,982541.9749297373
learned_context_adapter_hidden_direction,24,2022-06-03,7,0.0388102998629257,False,0.006185563746839762,5.91278076171875e-05,0.6336932880713996,5,981736.3906886207
learned_context_adapter_hidden_direction,25,2022-06-10,6,0.07045272420503262,False,0.021175425499677658,0.00023333542048931122,0.668074244219592,5,946421.1174326115
learned_context_adapter_hidden_direction,26,2022-06-13,3,0.0595050027239139,False,0.022332780063152313,0.00025703199207782745,0.514544965150221,1,944434.3230953577
learned_context_adapter_hidden_direction,27,2022-06-21,3,0.048345665086404435,False,0.004728355910629034,5.6488439440727234e-05,0.513887706507943,5,947926.5251420584
learned_context_adapter_hidden_direction,28,2022-06-27,3,0.0295511914657822,False,0.007686032447963953,8.730776607990265e-05,0.5907561529584221,4,952689.9039457984
learned_context_adapter_hidden_direction,29,2022-07-05,3,0.08149512048769933,False,0.04735689237713814,0.0005010534077882767,0.6074762991388084,5,954628.4807245578
learned_context_adapter_hidden_direction,30,2022-07-12,3,0.04030230839835953,False,0.007829897105693817,8.279457688331604e-05,0.6735815601534615,5,951438.0612741478
learned_context_adapter_hidden_direction,31,2022-07-19,3,0.04375929992244878,False,0.002119180280715227,2.520345151424408e-05,0.6775490541605901,5,969237.4939831217
learned_context_adapter_hidden_direction,32,2022-07-21,6,0.0908768977573284,False,0.012722929008305073,0.0001381058245897293,0.6900015557704912,2,967924.9862745842
learned_context_adapter_hidden_direction,33,2022-07-28,6,0.06185587493288036,False,0.007889722473919392,8.659064769744873e-05,0.6043489033659518,5,984885.0688360481
learned_context_adapter_hidden_direction,34,2022-08-04,6,0.09929122690398885,False,0.0490395687520504,0.0005084779113531113,0.7053486681306991,5,984550.4433192299
learned_context_adapter_hidden_direction,35,2022-08-11,5,0.06416256606853067,False,0.0022358172573149204,2.5078654289245605e-05,0.835539341393695,5,1003331.9588566594
learned_context_adapter_hidden_direction,36,2022-08-15,6,0.08925073766162323,False,0.007885371334850788,8.175894618034363e-05,0.885176690166121,2,1010657.3370093665
learned_context_adapter_hidden_direction,37,2022-08-22,5,0.1676003389695156,False,0.33879807591438293,0.0031775236129760742,0.8782030787243706,5,986103.3609146718
learned_context_adapter_hidden_direction,38,2022-08-29,5,0.07703546255920019,False,0.002150631044059992,2.5039538741111755e-05,0.7759869852342922,5,963834.6835295795
learned_context_adapter_hidden_direction,39,2022-09-06,3,0.03557741902537821,False,0.0023604577872902155,2.837926149368286e-05,0.7472522969171519,5,959271.0941566216
learned_context_adapter_hidden_direction,40,2022-09-13,3,0.03654223879244365,False,0.0018884704913944006,2.2318214178085327e-05,0.7925207753204742,5,951186.0367393993
learned_context_adapter_hidden_direction,41,2022-09-20,3,0.03147571695367141,False,0.0023671980015933514,2.893805503845215e-05,0.735111268511791,5,926520.9518278225
learned_context_adapter_hidden_direction,42,2022-09-27,3,0.03307663781292221,False,0.002253750804811716,2.6358291506767273e-05,0.6964612862106749,5,914290.8401552126
learned_context_adapter_hidden_direction,43,2022-10-04,3,0.028480655884425905,False,0.004348211921751499,5.0418078899383545e-05,0.645714777694464,5,924851.2037936797
learned_context_adapter_hidden_direction,44,2022-10-11,5,0.048280224196720546,False,0.019296063110232353,0.00021978095173835754,0.7122596143347973,5,900048.6273444137
learned_context_adapter_hidden_direction,45,2022-10-18,3,0.04132738937054844,False,0.012613434344530106,0.000148700550198555,0.5406622421366979,5,925379.6456471232
learned_context_adapter_hidden_direction,46,2022-10-25,6,0.12958013543633037,False,0.13386774063110352,0.0013591013848781586,0.6835072109882425,5,953729.3674714479
learned_context_adapter_hidden_direction,47,2022-11-01,6,0.14344288050905135,False,0.3556140959262848,0.003541303798556328,0.7207258716146968,5,955380.3245087686
learned_context_adapter_hidden_direction,48,2022-11-08,6,0.1543070789110118,False,0.363233745098114,0.0038142111152410507,0.7895391696194977,5,960167.6872296534
learned_context_adapter_hidden_direction,49,2022-11-11,6,0.1274922980148599,False,0.11205969005823135,0.0012200288474559784,0.7256887644393623,3,987291.4146317072
learned_context_adapter_hidden_direction,50,2022-11-18,5,0.08516750034668588,False,0.03449477627873421,0.0003784056752920151,0.8558242967514321,5,990895.0656874685
learned_context_adapter_hidden_direction,51,2022-11-23,5,0.06706931871965228,False,0.02223110757768154,0.0002553071826696396,0.8087519848491367,3,1002958.1893028715
learned_context_adapter_hidden_direction,52,2022-12-01,6,0.09004177135062631,False,0.017710182815790176,0.00018129125237464905,0.9321014764129066,5,1007399.0818238895
learned_context_adapter_hidden_direction,53,2022-12-08,5,0.06084816341612903,False,0.0016617861110717058,1.8632039427757263e-05,0.9528981745673094,5,985842.8646636565
learned_context_adapter_hidden_direction,54,2022-12-15,5,0.05303635963544624,False,0.0018601622432470322,2.1629035472869873e-05,0.8206309280765023,5,973810.1248625821
learned_context_adapter_hidden_direction,55,2022-12-22,3,0.02190975696065878,False,0.0004005047376267612,4.8764050006866455e-06,0.8651201948395296,5,980093.843321916
learned_context_adapter_hidden_direction,56,2022-12-30,3,0.057460023773372434,False,0.009493664838373661,0.000101504847407341,0.8995223537957361,5,982413.3736401685
learned_context_adapter_hidden_direction,57,2023-01-09,3,0.04396340440311464,False,0.001917351153679192,2.1472573280334473e-05,0.7964627493117871,5,1002494.2141764412
learned_context_adapter_hidden_direction,58,2023-01-17,5,0.06887180779965842,False,0.010224605910480022,0.0001082979142665863,0.9277276569000436,5,993919.3563211295
learned_context_adapter_hidden_direction,59,2023-01-24,0,0.07807891581242875,False,0.017593910917639732,0.00018464401364326477,0.9065602860823897,5,1005645.6546887722
learned_context_adapter_hidden_direction,60,2023-01-31,5,0.10394085135160866,False,0.025178110226988792,0.0002693869173526764,0.7638242935220684,5,1015709.3264404158
learned_context_adapter_hidden_direction,61,2023-02-07,5,0.07056745670217797,False,0.002132076071575284,2.41938978433609e-05,0.7875948691041713,5,1010220.3838877449
learned_context_adapter_hidden_direction,62,2023-02-14,0,0.07763825584375765,False,0.0014219838194549084,1.576356589794159e-05,0.7356023209351613,5,1015995.9609927918
learned_context_adapter_hidden_direction,63,2023-02-22,5,0.1333763876670663,False,0.040992371737957,0.00043373554944992065,0.7822667155947226,5,992243.5713165639
learned_context_adapter_hidden_direction,64,2023-02-27,3,0.04536209782290302,False,0.0013338120188564062,1.5484169125556946e-05,0.8545678835409098,3,982715.0171485078
learned_context_no_bad_penalty_hidden_direction,0,2022-01-07,5,0.06714001408263616,False,0.001109517295844853,1.2213364243507385e-05,0.7836782658100129,5,999670.3108469411
learned_context_no_bad_penalty_hidden_direction,1,2022-01-14,5,0.10350933791554554,False,0.0011827106354758143,1.3614073395729065e-05,0.7233010379852302,5,999080.9471258079
learned_context_no_bad_penalty_hidden_direction,2,2022-01-21,5,0.1070126554629642,False,0.00112962257117033,1.2675300240516663e-05,0.5875947281344241,4,998413.1873624225
learned_context_no_bad_penalty_hidden_direction,3,2022-01-24,3,0.02882602743319262,False,0.0009401078568771482,1.1395663022994995e-05,0.5424193176206029,1,998470.7308749832
learned_context_no_bad_penalty_hidden_direction,4,2022-01-25,3,0.057260967066273274,False,0.0009152849670499563,1.0639429092407227e-05,0.5458944736459269,1,998467.8329655165
learned_context_no_bad_penalty_hidden_direction,5,2022-02-01,3,0.03604468558767313,False,0.0009570887195877731,1.1412426829338074e-05,0.5488237449340677,5,999647.7386067106
learned_context_no_bad_penalty_hidden_direction,6,2022-02-08,3,0.07261576368585779,False,0.0009164682705886662,8.881092071533203e-06,0.6689886257290522,5,1000094.6573068544
learned_context_no_bad_penalty_hidden_direction,7,2022-02-15,6,0.11214669310470231,False,0.000876498525030911,8.905306458473206e-06,0.746836690871341,5,998213.4838557746
