source_code,arm,eta0,length,kernel,window_type,n_windows,mean_bad_auc_reduction,median_bad_auc_reduction,mean_bad_dwell_reduction,mean_primitive_switch_rate,p95_action_l1_shift_exact,p95_ood_max_pct,mean_logprob_delta_exact,mean_entropy_delta_exact,safe_window_rate,mean_safe_suppression_score,mean_natural_cum_return,mean_risk_stress,mean_market_gate,mean_volatility_gate,mean_liquidity_gate,mean_sector_gate,mean_correlation_regime_gate,mean_drawdown_gate,mean_recovery_gate,mean_turbulence_gate,mean_ood_gate,stage6_candidate_broad,temporal_shape_pass,wrong_direction_control_pass,stage6_candidate_strict,stage6_candidate
2,hidden_direction,1.0,20,har_mixture_dose,event,7,0.47522489416392943,0.47303113196568364,3.857142857142857,0.20714285714285716,0.03271350561641158,0.964035964035964,-0.033127975463867185,0.04469124930245535,1.0,0.434545067062675,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_direction,1.0,20,random_same_dose,event,7,0.4731625383199389,0.47637632013445474,3.4285714285714284,0.19285714285714287,0.020596379712224007,0.964035964035964,-0.032347215924944196,0.043997791835239955,1.0,0.43321927038778535,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_direction,1.0,20,powerlaw_dose,event,7,0.47290450019614105,0.46992775262199493,3.7142857142857144,0.19285714285714287,0.036123247882351286,0.964035964035964,-0.03318418775285993,0.04455806187220982,1.0,0.43212292527872415,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_direction,1.0,20,constant_peak,event,7,0.4703802437335759,0.478013770286186,3.857142857142857,0.24285714285714285,0.012038848567754029,0.964035964035964,-0.03221686226981026,0.04370640345982143,1.0,0.4305078097483996,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_subspace,1.0,20,raised_cosine_dose,event,7,0.45463366809022937,0.45980278463286256,2.857142857142857,0.17857142857142858,0.020725915087386967,0.9652014652014652,-0.030689511980329237,0.03951928274972099,1.0,0.41518056556362215,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_subspace,1.0,20,logistic_dose,event,7,0.4545429069781945,0.4600262568056054,2.857142857142857,0.17857142857142858,0.020277329673990607,0.9652014652014652,-0.030665806361607144,0.039532307216099336,1.0,0.41512015682639214,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_subspace,1.0,20,exponential_dose,event,7,0.45356753628418306,0.45668742464375955,2.857142857142857,0.17142857142857143,0.02731827221810818,0.9652014652014652,-0.030878230503627233,0.03948189871651786,1.0,0.4139052338809183,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_subspace,1.0,20,linear_dose,event,7,0.45326485576789316,0.4553365576211606,3.4285714285714284,0.2071428571428571,0.019527764627709984,0.9652014652014652,-0.030627223423549104,0.039332580566406254,1.0,0.41383679118347405,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_subspace,1.0,20,har_mixture_dose,event,7,0.44958548346631716,0.44671067183378477,3.0,0.17142857142857143,0.02932016517035664,0.9652014652014652,-0.03090062822614397,0.039142663138253354,1.0,0.409816858191265,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_subspace,1.0,20,hawkes_retriggered_dose,event,7,0.44829061263536074,0.44606877855518023,3.5714285714285716,0.21428571428571427,0.02509407457895577,0.9652014652014652,-0.029566356113978794,0.03787923540387835,1.0,0.4096949510763985,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_subspace,1.0,20,powerlaw_dose,event,7,0.448023584758546,0.4437041482656748,2.857142857142857,0.17142857142857143,0.032368748262524616,0.9652014652014652,-0.03096569606236049,0.03904844011579241,1.0,0.40815896532497903,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_subspace,1.0,20,random_same_dose,event,7,0.4444646375381801,0.4455283281558908,3.0,0.19285714285714287,0.0169491692725569,0.9652014652014652,-0.030091803414481026,0.03836021423339843,1.0,0.4054059131085025,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
2,hidden_direction,1.0,20,reverse_exponential_dose,event,7,0.4448735319466444,0.4408073973467208,3.4285714285714284,0.21428571428571433,0.027663639867678284,0.9645604395604396,-0.031110763549804688,0.04096167428152902,1.0,0.4043481189524957,0.012844974080941525,0.4476885379034678,0.7016222020927366,0.8516366733641282,0.9930552194031061,1.0,0.9911086507407683,0.9914528767622629,0.8760145707109486,0.9853472630998918,0.9751629323057894,True,False,True,False,False
