counterfactual_variant,stage7_stage,stage7_mode,n_days,final_return,annualized_sharpe,max_drawdown,mean_cash_exec,mean_turnover_l1,mean_alpha,trigger_days,p95_action_l1_shift,mean_target_prob_delta,delta_final_return_vs_original,delta_sharpe_vs_original,delta_max_drawdown_vs_original
stage7_control_random_promote_code6_own_context_schedule,control,random_promote_dominant_context,289,-0.017605602405749154,-0.0884019570848193,-0.11768969964405984,0.5052913393322572,0.007437602812748736,0.4960989076348026,208,0.0025028157979249954,0.0018863332089807266,0.0016215527446192812,0.01308636201652029,7.088575210223436e-05
stage7_control_random_replace_code6_schedule,control,random_replace_global_schedule,289,-0.017794614920150886,-0.08967990816477195,-0.11800438847255768,0.505130198226668,0.007437202044715011,0.03613894446431533,56,0.0009645447134971619,-2.6727050920298817e-05,0.0014325402302175494,0.011808410936567634,-0.00024380307639559895
stage7a_replace_code5_to_global_code1,stage7a,replace_global,289,-0.01788545019802623,-0.09041433296412567,-0.11798452353672462,0.5053051468307171,0.00743420549786707,0.05259332500891692,86,0.00198124013841152,0.000782607062260556,0.0013417049523422042,0.011073986137213915,-0.0002239381405625407
stage7a_replace_code7_to_global_code1,stage7a,replace_global,289,-0.017965203378573324,-0.09120176134840953,-0.1178337941557751,0.5054073830789348,0.0074419842344740006,0.010670073957285127,10,0.0,0.00017761739115079817,0.0012619517717951112,0.010286557752930053,-7.320875961303042e-05
stage7a_replace_code6_to_global_code1,stage7a,replace_global,289,-0.018036355947182448,-0.09173922238202327,-0.11789503638322496,0.5052817579371707,0.007441414744612869,0.03613880180020084,56,0.0016451440751552582,0.0005965471101668832,0.0011907992031859882,0.009749096719316314,-0.00013445098706288405
stage7_control_random_replace_code3_schedule,control,random_replace_global_schedule,289,-0.01803693875568757,-0.09177048626048707,-0.11785618811674337,0.5053796981135866,0.007441544191864961,0.11421328909789498,122,0.0012822061777114846,0.0001322065882490809,0.0011902163946808653,0.009717832840852508,-9.560272058128927e-05
stage7a_replace_code0_to_context_best,stage7a,replace_context_best,289,-0.019224310801734035,-0.1014652410705573,-0.11776058539616208,0.5054266928698364,0.007442454572675549,0.005593041195626902,10,0.0,3.546477184265777e-05,2.8443486344009727e-06,2.3078030782289205e-05,0.0
stage7a_replace_code0_to_global_code1,stage7a,replace_global,289,-0.019225702201264072,-0.10147669674042738,-0.11776058539616208,0.5054270085785215,0.007442454214166055,0.005593041439788243,10,0.0,6.622198774435354e-05,1.4529491043635545e-06,1.1622360912205698e-05,0.0
stage7_control_random_replace_code4_schedule,control,random_replace_global_schedule,289,-0.019226941108483442,-0.10148583407832727,-0.11776120012887814,0.5054219901355492,0.007442694911154285,0.0033379121039943905,5,0.0,-2.909255287298411e-06,2.1404188499385413e-07,2.485023012310794e-06,-6.147327160643812e-07
original_ppo,original,none,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,,0.0,0.0,0.0
stage7_control_random_promote_code2_own_context_schedule,control,random_promote_dominant_context,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7_control_random_replace_code1_schedule,control,random_replace_global_schedule,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7_control_random_replace_code2_schedule,control,random_replace_global_schedule,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7a_replace_code1_to_context_best,stage7a,replace_context_best,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7a_replace_code1_to_global_code7,stage7a,replace_global,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7a_replace_code2_to_context_best,stage7a,replace_context_best,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7a_replace_code2_to_global_code1,stage7a,replace_global,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7a_replace_code7_to_context_best,stage7a,replace_context_best,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7b_promote_code2_in_own_context,stage7b,promote_dominant_context,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7_control_random_replace_code0_schedule,control,random_replace_global_schedule,289,-0.01922822389103096,-0.10149687867687235,-0.11776058539616208,0.5054251566580835,0.007442660371827427,0.005593040360660811,10,0.0,-1.2361559626652157e-06,-1.0687406625242701e-06,-8.55957553276554e-06,0.0
stage7a_replace_code4_to_context_best,stage7a,replace_context_best,289,-0.0192364218031712,-0.1015528474044718,-0.11776386457719545,0.5053983069311788,0.007443020735687216,0.0033379121039943905,5,0.0,3.430955951636774e-05,-9.266652802764064e-06,-6.452830313222191e-05,-3.279181033377654e-06
