arm,source_code,target_code,eta,n,source_prob_delta_mean,source_prob_delta_p95_abs,target_prob_delta_mean,primitive_switch_rate,action_l1_shift_mean_proxy,action_l1_shift_p95_proxy,raw_action_l2_shift_mean_proxy,action_l1_shift_mean_exact,action_l1_shift_p95_exact,raw_action_l2_shift_mean_exact,logprob_delta_mean_exact,entropy_delta_mean_exact,cash_q_sum_deviation_p95_proxy,mahalanobis_p95_pct,knn_p95_pct,pca_recon_p95_pct,ae_recon_p95_pct,density_p95_pct,ood_max_p95_pct,directionality_gate,policy_output_gate_proxy,policy_output_gate_exact,portfolio_behavior_gate_proxy,ood_safety_gate,no_immediate_risk_blowup_gate_proxy,exact_policy_forward_available,eligible_stage55_proxy,eligible_stage55_exact,status,blocked_exact_reason,obs_ood_max_p95_pct,latent_ood_max_p95_pct
hidden_subspace,0,7,0.5,527,-0.013329196454144607,0.015894909280450814,0.00155043909463863,0.11195445920303605,0.009629726421357798,0.009629726421357888,0.14067309249810403,0.011799002582281545,0.013589758425951,0.14073441781287402,0.030305866046015182,-0.02771159684183023,1.1102230246251565e-16,0.9234099234099234,0.9064269064269064,0.906093906093906,0.8774558774558775,0.8554778554778555,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
logit_action_mean,0,7,0.5,527,,,,,0.1000231421759911,0.13906195661823811,,,,,,,,,,,,,,,True,,,,,False,False,False,action_mean_proxy_only_not_causal_hidden_intervention,no_environment_rollout_or_policy_logprob_for_counterfactual_action_mean,,
input_level,0,7,0.5,527,-0.0038727007336331726,0.00625646204566957,0.00027616375955291314,0.030360531309297913,0.005774994820808776,0.009096648544073105,0.09506681701786944,0.005774994820808776,0.009096648544073105,0.09506681701786944,-0.02125142511878113,0.022737521148044653,,0.9144189144189144,0.9064269064269064,0.9180819180819181,0.8791208791208791,0.8488178488178488,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9517149517149517,0.9533799533799534
hidden_direction,0,2,0.5,527,-0.008447159599230083,0.012296155244427232,0.011409853676153664,0.10815939278937381,0.01001120201229749,0.010011202012297542,0.13198900117938508,0.010771208440980378,0.012547437660396097,0.1320528042214645,0.03385152219594995,-0.02820162981239623,1.1102230246251565e-16,0.9194139194139194,0.9137529137529138,0.91025641025641,0.8864468864468864,0.8654678654678655,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,0,2,0.5,527,-0.007580070906821207,0.01121956094904869,0.01082111511278384,0.10815939278937381,0.010479500280648323,0.010479500280648386,0.14123292966419834,0.011282096166283853,0.013214192725718018,0.1413008313364503,0.03541798745432208,-0.030749789677715845,1.1102230246251565e-16,0.9234099234099234,0.9137529137529138,0.9107559107559106,0.8864468864468864,0.8654678654678655,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
logit_action_mean,0,2,0.5,527,,,,,0.06302707393905227,0.10454185391335108,,,,,,,,,,,,,,,True,,,,,False,False,False,action_mean_proxy_only_not_causal_hidden_intervention,no_environment_rollout_or_policy_logprob_for_counterfactual_action_mean,,
input_level,0,2,0.5,527,-0.001982251333545429,0.003722466851921861,0.00335818660789246,0.04743833017077799,0.003151321578664843,0.004948541335761545,0.03811217249288052,0.003151321578664843,0.004948541335761545,0.03811217249288052,0.008800940902681006,-0.008676214055273067,,0.9300699300699301,0.9064269064269064,0.9064269064269064,0.8897768897768897,0.8687978687978688,0.9583749583749583,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9517149517149517,0.9583749583749583
hidden_direction,0,,1.0,527,-0.018127257574710794,0.021183560673137647,,0.15749525616698293,0.0094826903579536,0.009482690357953644,0.10426477779225184,0.010871997067750744,0.012148059159517286,0.10432169942690707,0.028694920114593216,-0.014799925136385199,1.1102230246251565e-16,0.916083916083916,0.9137529137529138,0.9080919080919081,0.8757908757908758,0.8488178488178488,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,0,,1.0,527,-0.016989499610488342,0.019964135737412902,,0.15749525616698293,0.011894037643231211,0.011894037643231308,0.13844962902724592,0.013510984737970345,0.01537754666060209,0.13850718979817414,0.034444704001497274,-0.026162352010013934,1.1102230246251565e-16,0.9194139194139194,0.9137529137529138,0.9068931068931069,0.8791208791208791,0.8538128538128538,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
input_level,0,,1.0,527,-0.004770939848194042,0.006481663149695505,,0.04364326375711575,0.004772298426793242,0.00745350681245327,0.07186031204063367,0.004772298426793242,0.00745350681245327,0.07186031204063367,-0.012158764833743478,0.015463074425366164,,0.9194139194139194,0.9064269064269064,0.9080919080919081,0.8791208791208791,0.8521478521478522,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9517149517149517,0.9533799533799534
