adapter,split,n,n_source_code,mean_alpha,p95_alpha,mean_source_prob_delta,mean_source_prob_delta_on_source,primitive_switch_rate,mean_action_l1_shift,p95_action_l1_shift,mean_logprob_delta,mean_entropy_delta,p95_ood_max_pct,mean_net_return_context
oracle_schedule_adapter_hidden_subspace,validation,243,0,0.0033769191407077323,0.01315353587269783,6.0252732873633584e-05,,0.0,3.3266068179420974e-05,0.00012765247374773016,-0.000110626220703125,6.539929550861625e-05,0.9716949716949717,0.00019658567633006638
oracle_no_bad_penalty_hidden_subspace,adapter_holdout,40,33,0.14873977926908993,0.30821121931076023,0.0067301124628123404,0.0079711389654433,0.0,0.0013730040751397609,0.0026933469809591747,-0.00626220703125,0.006849479675292969,0.9790209790209791,-0.0017020724248487517
oracle_no_bad_penalty_hidden_subspace,adapter_train,2720,314,0.03261101975121539,0.27606846839189475,0.001489209938053682,0.011955559129388465,0.006617647058823529,0.0002921401043696439,0.002566250134259462,-0.0014649068608003505,0.001779012119068819,0.9754079254079251,0.0005918835518201989
oracle_no_bad_penalty_hidden_subspace,validation,243,0,0.003380642643336345,0.013007415272295474,6.028928779270003e-05,,0.0,3.33065328038769e-05,0.00012607071548700327,-0.00011094018755626286,6.558767562049897e-05,0.9716949716949717,0.00019658567633006638
learned_context_adapter_hidden_subspace,adapter_holdout,40,33,0.6951364641659893,0.9445212244987488,0.029023536549442997,0.03176857959947357,0.25,0.0064940953627228735,0.00880836956202984,-0.028363418579101563,0.029364585876464844,0.9790209790209791,-0.0017020724248487517
learned_context_adapter_hidden_subspace,adapter_train,2720,314,0.14559376055503087,0.9448497235774993,0.005797263989139914,0.03722969784208247,0.013235294117647059,0.00132462334654787,0.008291924465447664,-0.006092260865604176,0.006665557973525103,0.9754079254079251,0.0005918835518201989
learned_context_adapter_hidden_subspace,validation,243,0,0.03606954769031605,0.13907690942287443,0.0007566575076052396,,0.0,0.000351005682238826,0.001358612626791,-0.0012555848423836163,0.0008979765966595936,0.9716949716949717,0.00019658567633006638
learned_context_no_bad_penalty_hidden_subspace,adapter_holdout,40,33,0.0008379295657505281,0.0009550590330036357,3.215800956020525e-05,3.4141729304843104e-05,0.0,7.964903488755226e-06,9.17753204703331e-06,-3.5762786865234375e-05,3.490447998046875e-05,0.9790209790209791,-0.0017020724248487517
learned_context_no_bad_penalty_hidden_subspace,adapter_train,2720,314,0.0007663390256151187,0.0008822903881082311,1.3849293967071274e-05,3.423425494952763e-05,0.0,7.195875514298677e-06,8.571986109018324e-06,-2.5116696077234604e-05,1.5547696281881895e-05,0.9754079254079251,0.0005918835518201989
learned_context_no_bad_penalty_hidden_subspace,validation,243,0,0.0008943164699572932,0.000963427365059033,1.2803160307439294e-05,,0.0,8.984097114806313e-06,9.976886212825775e-06,-2.8508190264917694e-05,1.4097111705889917e-05,0.9716949716949717,0.00019658567633006638
learned_context_random_labels_hidden_subspace,adapter_holdout,40,33,0.00200828526285477,0.003920057904906571,7.276875106184394e-05,7.536674482108455e-05,0.0,1.915884204208851e-05,3.5684648901224135e-05,-8.04901123046875e-05,7.43865966796875e-05,0.9790209790209791,-0.0017020724248487517
learned_context_random_labels_hidden_subspace,adapter_train,2720,314,0.0031658016667600298,0.005680386885069304,5.474890223401621e-05,0.00012116787675163662,0.0,2.9369148507933408e-05,5.365740507841107e-05,-0.00010407531962675206,6.74275790943819e-05,0.9754079254079251,0.0005918835518201989
learned_context_random_labels_hidden_subspace,validation,243,0,0.003750255844965884,0.0063003846444189505,5.397707026766455e-05,,0.0,3.7518625028830005e-05,5.9932284057140346e-05,-0.00011988824287069188,6.244800708912037e-05,0.9716949716949717,0.00019658567633006638
manual_stage55_hawkes_hidden_subspace,adapter_holdout,40,33,0.6218148625921458,1.6940895736217496,0.02656858497555726,0.02929170565940319,0.125,0.005768960760906339,0.015509374532848594,-0.025377464294433594,0.026293373107910155,0.9790209790209791,-0.0017020724248487517
manual_stage55_hawkes_hidden_subspace,adapter_train,2720,314,0.015712227691512773,0.0,0.0007044420284924767,0.006102172985667314,0.003676470588235294,0.00013997477260144317,1.6205012798309326e-07,-0.000711206828846651,0.0008710720959831686,0.9763736263736263,0.0005918835518201989
manual_stage55_hawkes_hidden_subspace,validation,243,0,0.0,0.0,0.0,,0.0,2.9081792988404326e-08,8.940696716308594e-08,2.982685104809671e-07,-3.139668531378601e-07,0.9716949716949717,0.00019658567633006638
