code_id,mechanism,score,evidence
6,short_term_reversal_recovery,0.5563528648548778,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250
6,active_trading,0.552999030661743,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250
6,sector_or_group_rotation,0.5316872812015601,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250
6,momentum_trend_following,0.524875569731277,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250
6,risk_off_deleveraging,0.5175659324191333,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250
6,crowding_or_concentration,0.4994862808975581,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250
6,calendar_rebalancing,0.4989471780849004,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250; month_end_rate=0.026
6,forced_liquidation_stop_loss,0.49498291743892436,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250
6,volatility_targeting,0.4942657487437318,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250
6,execution_metaorder_artifact,0.48485581511936016,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250
6,liquidity_or_stress_sensitive_execution,0.4367987769453402,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250
6,baseline_hold,0.3861288379244751,cash=0.205; q=0.795; stress=0.414; recovery=0.553; turnover=0.0032; VIX=0.413; SP500Trend=-0.541; residual20=0.250
7,short_term_reversal_recovery,0.8375835560657273,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498
7,crowding_or_concentration,0.8059967801331982,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498
